Name,Group,Release,Daily,Weekly
Security.Testcase_BmcSetBiosRootPwd_011(),,,,Yes
Security.Testcase_BmcSetBiosRootPwd_012(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_001(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_002(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_003(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_004(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_005(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_006(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_007(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_008(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_009(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_010(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_011(),,,,Yes
Security.Testcase_BmcSetBiosUserPwd_012(),,,,Yes
Security.Testcase_BruteForce_001(),,,Yes,Yes
Security.Testcase_BruteForce_002(),,,,Yes
Security.Testcase_BruteForce_003(),,,Yes,Yes
Security.Testcase_BruteForce_004(),,,,Yes
Security.Testcase_BruteForce_005(),,,,Yes
Security.Testcase_A2SecurityModel1_002(),,,,Yes
Security.Testcase_HttpsBoot_002(),,,Yes,Yes
Security.Testcase_HttpsBoot_005(),,,Yes,Yes
Security.Testcase_SensitiveInfoCheck_001(),,,,Yes
Security.Testcase_SecurityBoot_001(),,,Yes,Yes
Security.Testcase_SensitiveInfoCheck_002(),,,,Yes
Security.Testcase_HttpsBoot_001(),,,,Yes
Security.Testcase_HttpsBoot_004(),,,,
Security.Testcase_HttpsBoot_007(),,,,
Security.Testcase_UserPassWord_001(),,,,Yes
Security.Testcase_UserPassWord_002(),,,,Yes
Security.Testcase_UserPassWord_003(),,,,Yes
Security.Testcase_UserPassWord_004(),,,,Yes
Security.Testcase_UserPassWord_005(),,,,Yes
Security.Testcase_UserPassWord_006(),,,,Yes
Security.Testcase_UserPassWord_007(),,,,Yes
Security.Testcase_UserPassWord_008(),,,,Yes
Security.Testcase_UserPassWord_009(),,,,Yes
Security.Testcase_UserPassWord_014(),,,,Yes
Security.Testcase_UserPassWord_015(),,,,Yes
Security.Testcase_UserPassWord_016(),,,,Yes
Security.Testcase_UserPassWord_017(),,,,Yes
Security.Testcase_UserPassWord_018(),,,,Yes
Security.Testcase_UserPassWord_020(),,,,Yes
Security.Testcase_WeakKeyList_001(),,,Yes,Yes
Security.Testcase_WeakKeyList_002(),,,,Yes
Security.Testcase_WeakKeyList_003(),,,,Yes
Security.Testcase_WeakKeyList_004(),,,Yes,Yes
Security.Testcase_WeakKeyList_005(),,,Yes,Yes
Security.Testcase_WeakKeyList_006(),,,Yes,Yes
Security.Testcase_WeakKeyList_007(),,,Yes,Yes
Security.Testcase_WeakKeyList_008(),,,,Yes
Security.Testcase_WeakKeyList_009(),,,Yes,Yes
Security.Testcase_WeakKeyList_010(),,,,Yes
Security.Testcase_WeakKeyList_011(),,,,Yes
Security.Testcase_WeakKeyList_012(),,,,Yes
Security.Testcase_WeakKeyList_013(),,,,Yes
Security.Testcase_WeakKeyList_014(),,,,Yes
Security.Testcase_WeakKeyList_016(),,,,Yes
Security.Testcase_KeyValidityCheck_001(),,,Yes,Yes
Security.Testcase_KeyValidityCheck_002(),,,,Yes
Security.Testcase_KeyValidityCheck_003(),,,,Yes
Security.Testcase_KeyValidityCheck_004(),,,,Yes
Security.Testcase_KeyValidityCheck_005(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_001(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_002(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_003(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_004(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_005(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_006(),,,,Yes
Security.Testcase_ForceChangeDefaultPwd_007(),,,,Yes
Security.Testcase_FirstLogin_003(),,,,Yes
Security.Testcase_FirstLogin_004(),,,,Yes
Security.Testcase_FirstLogin_005(),,,,Yes
Security.Testcase_FirstLogin_006(),,,Yes,Yes
Security.Testcase_FirstLogin_007(),,,,Yes
Security.Testcase_FirstLogin_008(),,,,Yes
Security.Testcase_FirstLogin_009(),,,,Yes
Security.Testcase_FirstLogin_010(),,,,Yes
Security.Testcase_FirstLogin_011(),,,,Yes
Security.Testcase_ChangePassWord_001(),,,,Yes
Security.Testcase_ChangePassWord_002(),,,,Yes
Security.Testcase_ChangePassWord_003(),,,,Yes
Security.Testcase_ChangePassWord_004(),,,,Yes
Security.Testcase_ChangePassWord_005(),,,,Yes
Security.Testcase_ChangePassWord_006(),,,,Yes
Security.Testcase_ChangePassWord_007(),,,,Yes
