Name,Group,Release,Daily,Weekly
IpmitoolTest.frb2_watchdog(oem=False),legacy,Yes,,Yes
IpmitoolTest.os_watchdog(),legacy,Yes,,Yes
IpmitoolTest.power_loss(),legacy,Yes,,Yes
SetUpTest.tpm(),legacy,Yes,,Yes
BootTest.post_information(),,Yes,,Yes
BootTest.boot_order(oem=False),,Yes,Yes,Yes
SetUpTest.boot_logo(oem=False),,Yes,Yes,Yes
SmbiosTest.get_smbios(),,Yes,,Yes
SmbiosTest.smbios(),,Yes,,Yes
BootTest.quick_boot_hotkey(),,Yes,,Yes
PXETest.pxe_boot(oem=False),,Yes,Yes,Yes
PXETest.pxe_option_rom(oem=False),,Yes,Yes,Yes
PXETest.pxe_retry(oem=False),,Yes,Yes,Yes
PXETest.pxe_retry_legacy(oem=False),,Yes,Yes,Yes
PXETest.pxe_protocol(oem=False),,Yes,Yes,Yes
PXETest.pxe_network(),,,,
PXETest.pxe_boot_priority(oem=False),,,,
SetUpTest.iommu(oem=False),,Yes,Yes,Yes
SetUpTest.svm(oem=False),,Yes,Yes,Yes
SetUpTest.sriov(oem=False),,Yes,Yes,Yes
PCIETest.pcie_max_payload(oem=False),,Yes,Yes,Yes
PCIETest.pcie_aspm(oem=False),,Yes,Yes,Yes
PCIETest.pcie_device_link_status(),,Yes,,Yes
PCIETest.above_4gb(),,Yes,,Yes
CpuTest.cpu_information(),,Yes,,Yes
CpuTest.cpu_hyper_threading(oem=False),,Yes,Yes,Yes
CpuTest.cpu_frequency(oem=False),,Yes,Yes,Yes
CpuTest.cpu_cstate(oem=False),,Yes,Yes,Yes
CpuTest.cpu_pstate(oem=False),,Yes,Yes,Yes
CpuTest.cpu_cpb(oem=False),,Yes,Yes,Yes
CpuTest.cpu_aes(oem=False),,Yes,Yes,Yes
CpuTest.cpu_downcore_control(),,Yes,,Yes
CpuTest.cpu_numa(oem=False),,Yes,Yes,Yes
CpuTest.cpu_performance(oem=False),,Yes,Yes,Yes
CpuTest.smee(),,Yes,Yes,Yes
IpmitoolTest.frb2_watchdog(oem=False),,Yes,,Yes
IpmitoolTest.os_watchdog(),,Yes,,Yes
IpmitoolTest.power_loss(),,Yes,,Yes
IpmitoolTest.oem(),,Yes,,Yes
IpmitoolTest.bmc_user(),,Yes,,Yes
IpmitoolTest.fru(),,Yes,,Yes
IpmitoolTest.sol(),,Yes,,Yes
SetUpTest.link_relation(oem=False),,Yes,Yes,Yes
SetUpTest.option_rom(oem=False),,Yes,Yes,Yes
SetUpTest.Interface_information(),,Yes,,Yes
SetUpTest.Onboard_Ethernet_Controller(oem=False),,Yes,Yes,Yes
SetUpTest.wake_online(oem=False),,Yes,Yes,Yes
SetUpTest.usb_mass_storage_support(oem=False),,Yes,Yes,Yes
SetUpTest.usb_port_configuration(oem=False),,Yes,Yes,Yes
SetUpTest.memory_speed(),,Yes,,Yes
SetUpTest.HDD_Bind(),,,,
SetUpTest.quiet_boot(oem=False),,Yes,Yes,Yes
SetUpTest.secure_boot(),,Yes,,Yes
SetUpTest.user_wait_time(oem=False),,Yes,Yes,Yes
SetUpTest.sata_controller(),,Yes,,Yes
SetUpTest.tpm(),,Yes,,Yes
SetUpTest.tpcm(),,Yes,,Yes
SetUpTest.save_change_esc(),,Yes,,Yes
SetUpTest.save_change(),,Yes,,Yes
SetUpTest.save_and_exit(),,Yes,,Yes
SetUpTest.exit_without_save(),,Yes,,Yes
SetUpTest.load_default(),,Yes,,Yes
SetUpTest.load_default_f9(),,Yes,,Yes
SetUpTest.spi_bios_lock(oem=False),,Yes,Yes,Yes
SetUpTest.check_default_bios(),,Yes,,Yes
IpmitoolTest.bmc_system_log(),,Yes,,Yes
IpmitoolTest.legacy_pxe_once_nor(),,Yes,,Yes
IpmitoolTest.legacy_setup_once_nor(),,Yes,,Yes
IpmitoolTest.legacy_hdd_once_nor(),,Yes,,Yes
IpmitoolTest.legacy_usb_once_nor(),,Yes,,Yes
IpmitoolTest.legacy_pxe_always_nor(),,Yes,,Yes
IpmitoolTest.legacy_setup_always_nor(),,Yes,,Yes
IpmitoolTest.legacy_usb_always_nor(),,Yes,,Yes
IpmitoolTest.legacy_hdd_always_nor(),,Yes,,Yes
IpmitoolTest.legacy_odd_always_nor(),,Yes,,Yes
IpmitoolTest.uefi_pxe_once_nor(),,Yes,,Yes
IpmitoolTest.uefi_setup_once_nor(),,Yes,,Yes
IpmitoolTest.uefi_hdd_once_nor(),,Yes,,Yes
IpmitoolTest.uefi_usb_once_nor(),,Yes,,Yes
IpmitoolTest.uefi_pxe_always_nor(),,Yes,,Yes
IpmitoolTest.uefi_setup_always_nor(),,Yes,,Yes
IpmitoolTest.uefi_hdd_always_nor(),,Yes,,Yes
IpmitoolTest.uefi_usb_always_nor(),,Yes,,Yes
IpmitoolTest.uefi_odd_always_nor(),,Yes,,Yes
SetupPasswordTest.password_security_001(),,Yes,,Yes
SetupPasswordTest.password_security_002(),,Yes,,Yes
SetupPasswordTest.password_security_003(),,Yes,,Yes
SetupPasswordTest.password_security_004(),,Yes,,Yes
SetupPasswordTest.password_security_005(),,Yes,,Yes
SetupPasswordTest.password_security_006(),,Yes,,Yes
SetupPasswordTest.password_security_007(),,Yes,,Yes
SetupPasswordTest.password_security_008(),,Yes,,Yes
SetupPasswordTest.password_security_009(),,Yes,,Yes
SetupPasswordTest.password_security_010(),,Yes,,Yes
SetupPasswordTest.password_security_011(),,Yes,,Yes
SetupPasswordTest.password_security_012(),,Yes,,Yes
SetupPasswordTest.password_security_013(),,Yes,,Yes
SetupPasswordTest.password_security_014(),,Yes,,Yes
SetupPasswordTest.password_security_015(),,Yes,,Yes
SetupPasswordTest.password_security_016(),,Yes,,Yes
SetupPasswordTest.password_security_017(),,Yes,,Yes
SetupPasswordTest.password_security_018(),,Yes,,Yes
SetupPasswordTest.password_security_019(),,Yes,,Yes
SetupPasswordTest.password_security_020(),,Yes,,Yes
SetupPasswordTest.password_security_021(),,Yes,,Yes
SetupPasswordTest.password_security_022(),,Yes,,Yes
SetupPasswordTest.password_security_023(),,Yes,,Yes
SetupPasswordTest.password_security_024(),,Yes,,Yes
SetupPasswordTest.password_security_025(),,Yes,,Yes
SetupPasswordTest.password_security_026(),,Yes,,Yes
UpdateBIOS.set_password(),,,,Yes
UpdateBIOS.setup_downgrade_all(),,,,
UpdateBIOS.setup_upgrade_normal(),,,,
UpdateBIOS.shell_downgrade_normal(),,,,
UpdateBIOS.shell_upgrade_all(),,,,
UpdateBIOS.linux_downgrade_all(),,,,
UpdateBIOS.linux_upgrade_normal(),,,,
UpdateBIOS.dos_downgrade_normal(),,,,
UpdateBIOS.dos_upgrade_all(),,,,
UpdateBIOS.setup_downgrade_normal(),,,,Yes
UpdateBIOS.setup_upgrade_all(),,,,Yes
UpdateBIOS.shell_downgrade_all(),,,,Yes
UpdateBIOS.shell_upgrade_normal(),,,,Yes
UpdateBIOS.linux_downgrade_normal(),,,,Yes
UpdateBIOS.linux_upgrade_all(),,,,Yes
UpdateBIOS.dos_downgrade_all(),,,,Yes
UpdateBIOS.dos_upgrade_normal(),,,,Yes
UpdateBIOS.del_password(),,,,Yes
UpdateBIOS.update_wrong_bios(),,,,
HddPasswordTest.hdd_password_001(),,,,Yes
HddPasswordTest.hdd_password_002(),,,,Yes
HddPasswordTest.hdd_password_003(),,,,Yes
HddPasswordTest.hdd_password_004(),,,,Yes
HddPasswordTest.hdd_password_005(),,,,Yes
HddPasswordTest.hdd_password_006(),,,,Yes
HddPasswordTest.hdd_password_007(),,,,Yes
HddPasswordTest.hdd_password_008(),,,,Yes
HddPasswordTest.hdd_password_009(),,,,Yes
HddPasswordTest.hdd_password_010(),,,,Yes
HddPasswordTest.hdd_password_011(),,,,Yes
HddPasswordTest.hdd_password_012(),,,,Yes
HddPasswordTest.hdd_password_014(),,,,Yes
HddPasswordTest.hdd_password_015(),,,,
HddPasswordTest.hdd_password_016(),,,,
HddPasswordTest.hdd_password_017(),,,,
HddPasswordTest.hdd_password_018(),,,,
RASTest.mem_ras_001(oem=False),,,Yes,
RASTest.mem_ras_002(oem=False),,,Yes,
RASTest.mem_ras_003(oem=False),,,Yes,
RASTest.mem_ras_004(oem=False),,,Yes,
RASTest.mem_ras_005_(),,,,
RASTest.mem_ras_006_(),,,,
RASTest.mem_ras_007(),,,,
RASTest.mem_ras_008(),,,,
RASTest.pcie_ras_001(),,,,
RASTest.pcie_ras_002(),,,,
RASTest.pcie_ras_003(oem=False),,,Yes,
RASTest.pcie_ras_004(oem=False),,,Yes,
RASTest.pcie_ras_005(),,,,
RASTest.cpu_ras_001(),,,,
RASTest.cpu_ras_002(oem=False),,,Yes,
RASTest.cpu_ras_003(),,,,
